City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,pacasmayo,-7.4006,-79.5714,22.52,22.52,97,2.91,PE,1687788933
389,miandrivazo,-19.5167,45.4667,26.04,26.04,0,2.39,MG,1687788934
390,akjoujt,19.6969,-14.4164,42.24,42.24,0,3.46,MR,1687788935
391,hailar,49.2,119.7,22.92,22.92,100,6.34,CN,1687788917
392,gwarzo,11.9152,7.9346,33.71,33.71,100,2.14,NG,1687788936
393,mil'kovo,55.6078,37.7956,25.73,24.11,97,2.46,RU,1687788937
394,cacheu,12.2706,-16.1658,32.03,32.03,100,3.67,GW,1687788938
395,tagta,41.6504,59.9164,35.97,35.97,0,5.14,TM,1687788939
396,shimoga,13.9167,75.5667,24.62,24.62,100,3.58,IN,1687788712
397,shingu,33.7333,135.9833,23.33,23.33,100,1.48,JP,1687788809
398,laguna,38.421,-121.4238,15.6,11.75,100,3.09,US,1687788941
399,selfoss,63.9331,-20.9971,12.25,12.25,92,4.82,IS,1687788942
400,okha,53.5739,142.9478,9.23,9.23,79,0.87,RU,1687788840
401,ostersund,63.1792,14.6357,25.34,24.25,0,6.17,SE,1687788943
402,palo santo,-25.5633,-59.3378,27.54,27.54,0,5.43,AR,1687788944
403,portage la prairie,49.9728,-98.2926,21.05,18.95,75,3.09,CA,1687788946
404,honefoss,60.168,10.2565,28.12,23.97,93,4.56,NO,1687788946
405,pacific grove,36.6177,-121.9166,13.34,11.35,100,1.79,US,1687788947
406,qarazhal,48.0078,70.7903,26.55,26.55,100,3.43,KZ,1687788948
407,lompoc,34.6391,-120.4579,14.88,11.07,100,4.12,US,1687788949
408,griffith,41.5284,-87.4237,21.97,20.47,100,6.69,US,1687788950
409,fale old settlement,-9.3852,-171.2468,28.63,28.63,94,6.76,TK,1687788950
410,egilsstadir,65.2653,-14.3948,16.95,16.95,75,6.17,IS,1687788951
411,yuzhno-kurilsk,44.0306,145.8556,12.38,12.38,95,5.2,RU,1687788952
412,port isabel,26.0734,-97.2086,31.02,30.03,20,7.2,US,1687788953
413,sao desiderio,-12.3633,-44.9733,29.22,29.22,99,3.7,BR,1687788954
414,kuqa,41.7278,82.9364,26.51,26.51,1,4.41,CN,1687788931
415,menongue,-14.6585,17.691,28.55,28.55,6,1.7,AO,1687788735
416,chernyshevskiy,63.0128,112.4714,16.3,16.3,100,4.27,RU,1687788956
417,pallisa,1.145,33.7094,25.75,25.75,76,1.71,UG,1687788957
418,ulladulla,-35.35,150.4667,12.43,12.43,72,3.8,AU,1687788958
419,el hadjira,32.6134,5.5126,40.31,40.31,0,3.75,DZ,1687788959
420,kupang,-10.1667,123.5833,25.06,25.06,12,1.8,ID,1687788959
421,imbituba,-28.24,-48.6703,21.59,21.59,0,1.52,BR,1687788960
422,west bay,19.3667,-81.4167,31.11,31.04,20,3.09,KY,1687788961
423,gallup,35.5281,-108.7426,22.23,17.91,0,0.0,US,1687788962
424,colesberg,-30.72,25.0972,18.42,18.42,63,3.56,ZA,1687788962
